load_perc,portal_shares,seconds,portal_cpu_usage,stress_cpu_uasge,job_exec_time
12,1024,0,0,0,
18,1024,3,3.2141779527441567,0,
18,1024,5,3.9706499469187078,0,
18,1024,7,4.741015017804891,0,
18,1024,10,5.489853146998845,0,
18,1024,12,6.415707023156147,0,
25,1024,14,7.182851163291778,0,
25,1024,17,7.815028270114216,0,
25,1024,19,8.586465479903207,0,
25,1024,22,8.670896668087234,0,
37,1024,24,9.576812393985488,0,
37,1024,27,8.68534510754912,0,
43,1024,30,8.68534510754912,0,
43,1024,33,7.845037025526409,0,
56,1024,35,7.845037025526409,0,
56,1024,38,6.887261124877048,2.5117023076886147,
62,1024,41,6.887261124877048,2.8080525773580294,
75,1024,43,5.913229505729446,5.006433761604871,
75,1024,46,5.123960344360977,5.778744093229401,
81,1024,49,5.05852474033083,6.707961998433317,
81,1024,51,5.05852474033083,4.749501347800001,
87,1024,54,5.020043308086802,6.554028663418591,
87,128,57,4.828625443157511,7.6802864053789515,
87,128,60,4.828625443157511,8.629191894882224,
87,128,62,4.294754937359815,10.483339037310195,
100,128,65,4.294754937359815,10.483339037310195,
100,128,68,3.860578323728741,10.880655258800603,
106,128,71,3.468613806520562,10.880655258800603,
112,128,73,3.3827196265804886,11.48070016242577,
112,128,76,3.3827196265804886,11.855426010713945,
112,128,79,3.0222138813506327,11.946541436045363,
112,128,81,2.311445824716988,12.402772100793925,
106,128,84,2.794474658231436,12.402772100793925,
106,128,86,2.559684740664944,10.62446263698209,
106,128,88,4.350179901145801,9.788116473581638,
106,128,91,4.733836346880552,8.466394479098996,
100,128,93,5.534387394339104,7.628651262991317,
100,128,95,5.772860711523986,4.370953361666666,
100,128,98,7.190455895266787,4.609264514996817,
100,128,100,7.190455895266787,4.142736327223639,
100,128,103,8.405461491170724,1.9985655530121942,
93,128,105,8.405461491170724,1.9985655530121942,
93,128,107,9.516779417506422,0.13927189327345696,
87,128,110,9.516779417506422,0,
87,128,113,9.311354446940706,0,
100,128,116,9.311354446940706,0,
112,128,118,8.157437634446904,0,
112,128,121,5.919598113291667,0,
118,128,124,6.325907963921663,0,
118,128,127,5.653352928852986,0,
125,128,129,5.00648137007086,7.505769722973508,
125,128,132,3.6327061400910696,3.620054605061738,
125,128,135,3.6327061400910696,4.63961597639665,
125,128,138,2.457481472012281,5.609496597161375,
125,128,140,2.457481472012281,6.800565163023645,
125,128,143,2.3560168688114116,7.917435937545117,
131,128,146,2.1013322581544034,7.804228450933333,
137,128,149,2.409639557881421,10.214529035990834,
137,128,152,2.2454890064959594,12.112508676870247,
137,128,155,2.425188404008439,12.055075477161667,
137,128,158,2.422138370307504,12.002953755959595,
143,128,160,2.4221383703075032,12.002953755959595,
143,128,163,2.466137772029426,12.065955394190704,
143,128,166,2.4661377720294255,12.065955394190704,
143,128,169,2.49254368094288,12.155851735864918,
143,128,171,2.49254368094288,12.196088618021934,
137,128,173,2.836267334963903,11.58904132661387,
137,128,176,2.836267334963903,11.58904132661387,
131,128,178,4.298552248134554,10.376289667407312,
131,128,180,4.298552248134554,8.80403966936953,
131,128,183,5.416579928954535,7.235431362800191,
125,128,185,5.416579928954535,6.6052660325285215,
125,128,187,6.9301697926520776,5.1875478716283725,1:196
