load_perc,portal_shares,seconds,portal_cpu_usage,stress_cpu_uasge,job_exec_time
6,1024,0,0,0,
12,1024,2,0,0,
12,1024,5,0,0,
12,1024,7,3.3449850428780383,0,
12,1024,9,4.108199047311399,0,
12,1024,11,4.706905796035276,0,
18,1024,14,4.170285734550001,0,
18,1024,16,6.298780614961309,0,
18,1024,19,7.048906645314492,0,
18,1024,21,7.777975062988229,0,
31,1024,24,7.6542830192916655,0,
31,1024,27,8.887575112950417,1.3400633539451907,
43,1024,29,8.887575112950417,1.352601697695833,
43,1024,32,7.854467638993164,3.5562030373429083,
50,1024,35,7.551855732591297,4.05746659616724,
50,1024,37,7.114880549283393,5.320958540318863,
62,1024,40,5.635152052981519,5.209471572279166,
62,1024,43,6.077327736786513,7.463608685995625,
75,1024,45,5.249174103401087,8.51294136742013,
75,1024,48,5.249174103401087,9.250400281665518,
75,1024,50,5.006664436280884,9.885016714090758,
81,1024,53,5.006664436280884,9.923198239941419,
81,1024,56,5.088150056604548,9.896839418312949,
81,1024,59,5.088150056604548,9.896839418312949,
81,1024,61,5.093704379443273,9.917355008286753,
93,1024,64,5.093704379443272,9.93181858182918,
93,1024,67,5.164518573084965,9.9559897431796,
100,1024,69,5.210177380703422,7.570042037999999,
100,1024,72,5.1822325958458375,9.978124030183674,
106,1024,75,4.610399633039188,9.978124030183674,
106,1024,77,5.2541662976157735,10.00732954765931,
112,1024,80,5.18454984704703,10.021198598144329,
112,1024,82,5.18454984704703,10.021198598144329,
106,1024,84,4.48167493916516,8.87196013314638,
106,1024,87,6.025958581022426,8.0305224365384,
106,1024,89,5.569300786195055,7.170180070383482,
106,1024,91,6.872190959218065,6.320336353862542,
100,1024,94,6.047436414899107,4.082861884000001,
100,1024,96,7.879665029692468,4.09212889958642,
93,1024,98,7.879665029692471,3.7244300423640304,
93,1024,101,8.712903376573328,2.3639875527456895,
93,1024,103,8.712903376573328,2.100184018012831,
93,1024,105,9.364358542352056,0.21965103217138973,
93,1024,108,8.529619656380945,0.1891074665919139,
93,1024,110,9.563150322953371,0,
100,1024,113,9.563150322953371,0,
